,id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc
1,H3c1,20,7.0227e-19,2.3315e-07,0.000248,1,19,-3.273,0.99984,0.99984,1,20341,0,-3.273
2,H2bc11,9,6.7291e-15,2.3315e-07,0.000248,2,9,-4.6483,1,1,1,21231,0,-4.6483
3,H2ac10,21,4.0835e-14,2.3315e-07,0.000248,3,20,-2.6529,1,1,1,21216,0,-2.6529
4,Btbd35f1,29,2.2639e-12,2.3315e-07,0.000248,4,24,-1.0728,0.99421,0.99867,1,19351,1,-1.0728
5,Gm20738,23,3.034e-11,2.3315e-07,0.000248,5,19,-1.0302,0.98982,0.99633,1,19149,1,-1.0302
6,H3c13,11,3.1061e-10,2.3315e-07,0.000248,6,11,-2.3318,1,1,1,21233,0,-2.3318
7,Mfap1a,7,3.5682e-10,2.3315e-07,0.000248,7,7,-2.9264,1,1,1,21232,0,-2.9264
8,Gm14150,6,8.7733e-10,2.3315e-07,0.000248,8,6,-3.3418,1,1,1,21230,0,-3.3418
9,Gm10058,12,2.7959e-09,2.3315e-07,0.000248,9,11,-1.5591,1,1,1,21223,0,-1.5591
10,Gm10439,26,6.7463e-09,2.3315e-07,0.000248,10,19,-0.77978,0.99838,0.99913,1,19740,1,-0.77978
11,Gm14295,14,1.3721e-08,2.3315e-07,0.000248,11,12,-0.99372,1,1,1,21180,0,-0.99372
12,Eif4a3,4,1.6709e-08,2.3315e-07,0.000248,12,4,-4.2991,1,1,1,21229,0,-4.2991
13,Rpl18,3,2.8673e-08,2.3315e-07,0.000248,13,3,-4.534,1,1,1,21228,0,-4.534
14,4930467E23Rik,11,2.9253e-08,2.3315e-07,0.000248,14,10,-1.4657,1,1,1,21141,0,-1.4657
15,Sox9,4,3.6483e-08,2.3315e-07,0.000248,16,4,-3.3457,1,1,1,21226,0,-3.3457
16,Gm10054,5,4.3019e-08,2.3315e-07,0.000248,17,5,-3.1823,1,1,1,21225,0,-3.1823
17,Rps15a,4,6.4635e-08,2.3315e-07,0.000248,18,4,-3.4098,1,1,1,21224,0,-3.4098
18,Gins2,4,7.706e-08,2.3315e-07,0.000248,19,4,-3.6213,1,1,1,21222,0,-3.6213
19,Heatr1,4,7.7994e-08,2.3315e-07,0.000248,20,4,-3.7414,1,1,1,21221,0,-3.7414
20,Fau,4,9.4673e-08,6.9945e-07,0.000437,22,4,-3.1586,1,1,1,21219,0,-3.1586
21,Wdr70,4,1.0689e-07,6.9945e-07,0.000437,23,4,-3.6138,1,1,1,21218,0,-3.6138
22,Thoc3,4,1.3168e-07,6.9945e-07,0.000437,24,4,-2.8388,1,1,1,21217,0,-2.8388
23,1700040F15Rik,8,1.911e-07,1.6321e-06,0.000568,25,8,-1.6391,1,1,1,21215,0,-1.6391
24,Rae1,4,2.1976e-07,6.9945e-07,0.000437,26,4,-3.152,1,1,1,21214,0,-3.152
25,Wdr1,4,2.2387e-07,6.9945e-07,0.000437,27,4,-2.9455,1,1,1,21213,0,-2.9455
26,Rpl3,4,2.5202e-07,6.9945e-07,0.000437,29,4,-3.9699,1,1,1,21211,0,-3.9699
27,Rrm1,4,2.6206e-07,6.9945e-07,0.000437,30,4,-3.5578,1,1,1,21210,0,-3.5578
28,Eef1a1,4,2.73e-07,6.9945e-07,0.000437,31,4,-3.5884,1,1,1,21209,0,-3.5884
29,Gm15459,2,2.9897e-07,6.9945e-07,0.000437,32,2,-4.0704,1,1,1,21208,0,-4.0704
30,Cltc,4,3.182e-07,6.9945e-07,0.000437,33,4,-2.9556,1,1,1,21207,0,-2.9556
31,Urod,4,3.3258e-07,6.9945e-07,0.000437,34,4,-2.5066,1,1,1,21206,0,-2.5066
