,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0022613,GO:0022613,ribonucleoprotein complex biogenesis,186/1349,452/28928,0.411504425,8.824314307,37.08040154,4.09771515982437e-127,1.90133983415851e-123,1.48078485722916e-123,Eif4a3/Rps15a/Heatr1/Fau/Eif5/Srsf1/Ran/Krr1/Xab2/Ddx49/Drosha/Rplp0/Riok1/Rps19/Nip7/Eif3i/Rps11/Glul/Rps21/Snrpf/Exosc3/Snrpd1/Puf60/Xpo1/Rps6/Ruvbl2/Exosc8/Eif3g/Ddx56/Sf3a1/Rps7/Snrpb/Mak16/Sf3a3/Sbds/Nle1/Nol10/Ncbp1/Mtrex/Prpf6/Eif2s3x/Mettl16/Prpf8/Dimt1/Snrnp200/Utp4/Rpsa/Nop16/Utp15/Nop14/Dhx37/Gemin5/Bysl/Pak1ip1/Rps4x/Dcaf13/Tfb1m/Prmt5/Wdr74/Rpf2/Sf3b1/Rps9/Tsr1/Lsm2/Prpf3/Clp1/Prkra/Slu7/Rpl5/Eif3a/Gtpbp4/Gnl2/Rps13/Lsg1/Rps28/Nop58/Rpp38/Mettl17/Mybbp1a/Ftsj3/Eif3c/Snrpd3/Sart3/Ruvbl1/Efl1/Ppan/Htatsf1/Eral1/Pno1/Rpl7/Rrp9/Mrps2/Ddx54/Nop53/Rcc1l/Nat10/Bop1/Mrto4/Heatr3/Pwp2/Eif3f/Sdad1/Snrpg/Dhx29/Gemin6/Brix1/Rps14/Imp4/Utp18/Eif3d/Tbl3/Pop5/Eif3m/Eif3b/Ddx42/Crnkl1/Wdr18/Dhx30/Urb2/Nup88/Gemin8/Wdr12/Clns1a/Dkc1/Snrpe/Rrn3/Abt1/Rps15/Pop4/Eif3e/Rpl7l1/Dicer1/Ddx10/LTO1/Lsm4/Exosc2/Sf3a2/U2af2/Mterf3/Mdn1/Utp23/Ddx46/Rpl38/Exosc7/Pop7/Wdr75/Nol8/Trmt112/Prpf4b/Wdr77/Nop56/Rrp1/Gemin7/Rps12/Nop10/Pes1/Kri1/Ddx47/Exosc5/Rrp7a/Sart1/Ythdc1/Ddx27/Srsf10/Rpl7a/Noc4l/C1qbp/Tma16/Gnl3l/Ptges3/Dnttip2/Smn1/Ago2/Usp39/Exosc9/Tsr2/Atr/Gtf3a/Exosc10/Usp36/Bud23/Nmd3/Rpl14/Wdr46/Ebna1bp2/Rps8,186
GO:0042254,GO:0042254,ribosome biogenesis,130/1349,320/28928,0.40625,8.711638251,30.67936064,1.74968004803145e-87,4.05925771143296e-84,3.16139558152208e-84,Eif4a3/Rps15a/Heatr1/Fau/Eif5/Ran/Krr1/Ddx49/Drosha/Rplp0/Riok1/Rps19/Nip7/Rps11/Glul/Rps21/Exosc3/Xpo1/Rps6/Exosc8/Ddx56/Rps7/Mak16/Sbds/Nle1/Nol10/Mtrex/Mettl16/Dimt1/Utp4/Rpsa/Nop16/Utp15/Nop14/Dhx37/Bysl/Pak1ip1/Rps4x/Dcaf13/Tfb1m/Wdr74/Rpf2/Rps9/Tsr1/Rpl5/Gtpbp4/Gnl2/Rps13/Lsg1/Rps28/Nop58/Rpp38/Mettl17/Mybbp1a/Ftsj3/Efl1/Ppan/Eral1/Pno1/Rpl7/Rrp9/Mrps2/Ddx54/Nop53/Rcc1l/Nat10/Bop1/Mrto4/Heatr3/Pwp2/Sdad1/Dhx29/Brix1/Rps14/Imp4/Utp18/Tbl3/Pop5/Wdr18/Dhx30/Urb2/Nup88/Wdr12/Dkc1/Rrn3/Abt1/Rps15/Pop4/Rpl7l1/Dicer1/Ddx10/LTO1/Exosc2/Mterf3/Mdn1/Utp23/Rpl38/Exosc7/Pop7/Wdr75/Nol8/Trmt112/Nop56/Rrp1/Rps12/Nop10/Pes1/Kri1/Ddx47/Exosc5/Rrp7a/Sart1/Ddx27/Rpl7a/Noc4l/C1qbp/Tma16/Gnl3l/Dnttip2/Exosc9/Tsr2/Gtf3a/Exosc10/Usp36/Bud23/Nmd3/Rpl14/Wdr46/Ebna1bp2/Rps8,130
GO:0008380,GO:0008380,RNA splicing,148/1349,464/28928,0.318965517,6.839906955,28.04693241,2.60735742773575e-82,4.03271282156463e-79,3.1407221226024e-79,Mfap1a/Eif4a3/Thoc3/Sf3b5/Srsf1/Zpr1/Rnpc3/Polr2a/Xab2/Rnf113a1/Jmjd6/Phf5a/Txnl4a/Smu1/Ncbp2/Snrpf/Cwc22/Sap18/Snrpd1/Puf60/Sf3b4/Upf1/Rbm8a/Sf3a1/Fam50a/Snrpb/Sf3a3/Snw1/Ncbp1/Eftud2/Srsf7/Mtrex/Prpf6/Mettl16/Prpf8/Ppil2/Snrnp200/Hnrnpk/Snrnp35/Dbr1/Gemin5/Rtcb/Magoh/Snrpa1/Gpkow/Prmt5/Ubl5/Sf3b2/Cdk12/Snrnp40/Sf3b1/Lsm2/Prpf3/Ddx41/Clp1/Slu7/Sfpq/Rps13/Pdcd7/Plrg1/Supt6/Rbm17/Prpf40a/Hnrnpu/Pabpc1/Snrpd3/Sart3/Zmat5/Tardbp/Htatsf1/Sf1/Trrap/Dhx16/Ddx5/Cd2bp2/Prmt1/Ik/Rbm25/Taf5l/Snrpg/Gemin6/Sgf29/Taf12/Aqr/Snrnp70/Ppwd1/Paxbp1/Ddx42/Crnkl1/Gemin8/Clns1a/Snrpe/Zc3h10/Snip1/Bud13/Alyref/Rbm22/Mettl14/Hnrnpl/Lsm4/Sf3a2/U2af2/Cdc40/Thoc1/Sf3b6/Nrde2/Txnl4b/Armc7/Ppp1r8/Ddx46/U2af1/Slc38a2/Ddx23/Tfip11/Rbm39/Nsrp1/Prpf4b/Wdr77/Zfp638/Zc3h13/Lsm8/Prpf38b/Gemin7/Lsm10/Snrnp27/Zfp830/Ddx47/BC005624/Sart1/Ythdc1/Ptbp1/Ppie/Srsf10/C1qbp/Taf6l/Dyrk1a/Pnn/Smn1/Cactin/Usp39/Tsen54/Cwc25/Zmat2/Rnps1/Exosc10/Taf10/Rbm14/Dhx38,148
GO:0140053,GO:0140053,mitochondrial gene expression,84/1349,168/28928,0.5,10.72201631,27.95020261,6.60468454192549e-66,7.66143406863357e-63,5.96681106116585e-63,Mrps16/Chchd1/Mrpl52/Gatb/Hsd17b10/Kansl3/Mrpl33/Mrpl27/Mrpl22/Qrsl1/Mrpl4/Mrpl50/Aurkaip1/Gfm1/Pnpt1/Mrps34/Aars2/Dap3/Tfb1m/Mrps25/Gadd45gip1/Mrpl57/Iars2/Trnt1/Twnk/Mrps27/Mrpl36/Mrpl12/Mrpl15/Mrps15/Supv3l1/Lars2/Mrpl38/Tsfm/Mrpl45/Mrpl55/Mrpl43/Mrps2/Rcc1l/Mtg2/Mrpl41/Mrps23/Mrps35/Kat8/Prorp/Mtpap/Mrpl24/Mrps33/Sars2/Mrpl44/Mrpl3/Mrps17/Mrpl20/Thap11/Mrps21/Mrpl37/Mrpl11/Mrps26/Polrmt/Mrpl18/Mterf3/Tufm/Mrpl48/Gatc/Mrps18b/Mrpl49/Lrpprc/Elac2/Mrpl53/Mrpl14/Mrps28/Mrps24/Dars2/Ptcd3/Mrpl13/Mrpl19/C1qbp/Mrpl47/Mrpl28/Ptcd1/Mrps6/Rars2/Mrps11/Wars2,84
GO:0000375,GO:0000375,"RNA splicing, via transesterification reactions",107/1349,315/28928,0.33968254,7.28416346,24.80215789,1.40624112386386e-62,9.32136973532613e-60,7.259587636428e-60,Mfap1a/Eif4a3/Sf3b5/Srsf1/Rnpc3/Xab2/Rnf113a1/Jmjd6/Phf5a/Txnl4a/Smu1/Ncbp2/Snrpf/Cwc22/Sap18/Snrpd1/Puf60/Sf3b4/Upf1/Rbm8a/Sf3a1/Snrpb/Sf3a3/Snw1/Ncbp1/Eftud2/Srsf7/Prpf6/Mettl16/Prpf8/Snrnp200/Hnrnpk/Snrnp35/Dbr1/Gemin5/Magoh/Snrpa1/Gpkow/Prmt5/Ubl5/Sf3b2/Sf3b1/Lsm2/Prpf3/Ddx41/Slu7/Sfpq/Plrg1/Rbm17/Prpf40a/Hnrnpu/Snrpd3/Sart3/Htatsf1/Sf1/Dhx16/Ddx5/Ik/Rbm25/Snrpg/Gemin6/Aqr/Snrnp70/Paxbp1/Ddx42/Crnkl1/Gemin8/Clns1a/Snrpe/Snip1/Bud13/Rbm22/Mettl14/Hnrnpl/Lsm4/Sf3a2/U2af2/Cdc40/Sf3b6/Txnl4b/Ddx46/U2af1/Ddx23/Tfip11/Rbm39/Nsrp1/Prpf4b/Wdr77/Lsm8/Gemin7/BC005624/Sart1/Ythdc1/Ptbp1/Ppie/Srsf10/C1qbp/Dyrk1a/Smn1/Cactin/Usp39/Cwc25/Zmat2/Rnps1/Exosc10/Rbm14/Dhx38,107
GO:0000377,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",107/1349,315/28928,0.33968254,7.28416346,24.80215789,1.40624112386386e-62,9.32136973532613e-60,7.259587636428e-60,Mfap1a/Eif4a3/Sf3b5/Srsf1/Rnpc3/Xab2/Rnf113a1/Jmjd6/Phf5a/Txnl4a/Smu1/Ncbp2/Snrpf/Cwc22/Sap18/Snrpd1/Puf60/Sf3b4/Upf1/Rbm8a/Sf3a1/Snrpb/Sf3a3/Snw1/Ncbp1/Eftud2/Srsf7/Prpf6/Mettl16/Prpf8/Snrnp200/Hnrnpk/Snrnp35/Dbr1/Gemin5/Magoh/Snrpa1/Gpkow/Prmt5/Ubl5/Sf3b2/Sf3b1/Lsm2/Prpf3/Ddx41/Slu7/Sfpq/Plrg1/Rbm17/Prpf40a/Hnrnpu/Snrpd3/Sart3/Htatsf1/Sf1/Dhx16/Ddx5/Ik/Rbm25/Snrpg/Gemin6/Aqr/Snrnp70/Paxbp1/Ddx42/Crnkl1/Gemin8/Clns1a/Snrpe/Snip1/Bud13/Rbm22/Mettl14/Hnrnpl/Lsm4/Sf3a2/U2af2/Cdc40/Sf3b6/Txnl4b/Ddx46/U2af1/Ddx23/Tfip11/Rbm39/Nsrp1/Prpf4b/Wdr77/Lsm8/Gemin7/BC005624/Sart1/Ythdc1/Ptbp1/Ppie/Srsf10/C1qbp/Dyrk1a/Smn1/Cactin/Usp39/Cwc25/Zmat2/Rnps1/Exosc10/Rbm14/Dhx38,107
GO:0000398,GO:0000398,"mRNA splicing, via spliceosome",107/1349,315/28928,0.33968254,7.28416346,24.80215789,1.40624112386386e-62,9.32136973532613e-60,7.259587636428e-60,Mfap1a/Eif4a3/Sf3b5/Srsf1/Rnpc3/Xab2/Rnf113a1/Jmjd6/Phf5a/Txnl4a/Smu1/Ncbp2/Snrpf/Cwc22/Sap18/Snrpd1/Puf60/Sf3b4/Upf1/Rbm8a/Sf3a1/Snrpb/Sf3a3/Snw1/Ncbp1/Eftud2/Srsf7/Prpf6/Mettl16/Prpf8/Snrnp200/Hnrnpk/Snrnp35/Dbr1/Gemin5/Magoh/Snrpa1/Gpkow/Prmt5/Ubl5/Sf3b2/Sf3b1/Lsm2/Prpf3/Ddx41/Slu7/Sfpq/Plrg1/Rbm17/Prpf40a/Hnrnpu/Snrpd3/Sart3/Htatsf1/Sf1/Dhx16/Ddx5/Ik/Rbm25/Snrpg/Gemin6/Aqr/Snrnp70/Paxbp1/Ddx42/Crnkl1/Gemin8/Clns1a/Snrpe/Snip1/Bud13/Rbm22/Mettl14/Hnrnpl/Lsm4/Sf3a2/U2af2/Cdc40/Sf3b6/Txnl4b/Ddx46/U2af1/Ddx23/Tfip11/Rbm39/Nsrp1/Prpf4b/Wdr77/Lsm8/Gemin7/BC005624/Sart1/Ythdc1/Ptbp1/Ppie/Srsf10/C1qbp/Dyrk1a/Smn1/Cactin/Usp39/Cwc25/Zmat2/Rnps1/Exosc10/Rbm14/Dhx38,107
GO:0016072,GO:0016072,rRNA metabolic process,97/1349,258/28928,0.375968992,8.062291333,25.20055182,1.61978427050747e-61,9.39474876894335e-59,7.31673605348969e-59,Eif4a3/Heatr1/Gtf3c1/Krr1/Ddx49/Drosha/Riok1/Rps19/Rps21/Exosc3/Rps6/Exosc8/Ddx56/Rps7/Mak16/Pelo/Sbds/Nol10/Mtrex/Mettl16/Mars1/Dimt1/Ubtf/Utp4/Utp15/Nop14/Dhx37/Bysl/Pak1ip1/Dcaf13/Polr1b/Tfb1m/Wdr74/Rpf2/Tsr1/Polr1d/Rpl5/Gtpbp4/Rps28/Rpp38/Ftsj3/Ppan/Ercc3/Rpl7/Rrp9/Ddx54/Nop53/Nat10/Bop1/Mrto4/Polr1a/Pwp2/Brix1/Rps14/Imp4/Smarca4/Utp18/Tbl3/Pop5/Mtor/Wdr18/Wdr12/Dkc1/Abt1/Rps15/Pop4/Rpl7l1/Dicer1/Ddx10/Exosc2/Utp23/Exosc7/Pop7/Wdr75/Nol8/Trmt112/Rrp1/Nop10/Pes1/Kri1/Ddx47/Exosc5/Rrp7a/Sart1/Ddx27/Rpl7a/Exosc9/Tsr2/Dedd/Exosc10/Usp36/Smarcb1/Bud23/Rpl14/Wdr46/Ebna1bp2/Rps8,97
GO:0032543,GO:0032543,mitochondrial translation,70/1349,129/28928,0.542635659,11.63629677,26.77719078,2.42258298900568e-58,1.24897611877626e-55,9.72716655117721e-56,Mrps16/Chchd1/Mrpl52/Gatb/Mrpl33/Mrpl27/Mrpl22/Qrsl1/Mrpl4/Mrpl50/Aurkaip1/Gfm1/Mrps34/Aars2/Dap3/Mrps25/Gadd45gip1/Mrpl57/Iars2/Mrps27/Mrpl36/Mrpl12/Mrpl15/Mrps15/Lars2/Mrpl38/Tsfm/Mrpl45/Mrpl55/Mrpl43/Mrps2/Rcc1l/Mtg2/Mrpl41/Mrps23/Mrps35/Mrpl24/Mrps33/Sars2/Mrpl44/Mrpl3/Mrps17/Mrpl20/Mrps21/Mrpl37/Mrpl11/Mrps26/Mrpl18/Tufm/Mrpl48/Gatc/Mrps18b/Mrpl49/Lrpprc/Mrpl53/Mrpl14/Mrps28/Mrps24/Dars2/Ptcd3/Mrpl13/Mrpl19/C1qbp/Mrpl47/Mrpl28/Ptcd1/Mrps6/Rars2/Mrps11/Wars2,70
GO:0022618,GO:0022618,protein-RNA complex assembly,81/1349,184/28928,0.440217391,9.440036098,25.40083707,5.60893930470678e-58,2.60254783738395e-55,2.02689354032194e-55,Fau/Eif5/Srsf1/Xab2/Rps19/Eif3i/Snrpf/Snrpd1/Puf60/Rps6/Ruvbl2/Eif3g/Sf3a1/Snrpb/Sf3a3/Ncbp1/Prpf6/Eif2s3x/Prpf8/Snrnp200/Rpsa/Gemin5/Prmt5/Rpf2/Sf3b1/Lsm2/Prpf3/Clp1/Prkra/Slu7/Rpl5/Eif3a/Rps28/Mettl17/Eif3c/Snrpd3/Sart3/Ruvbl1/Htatsf1/Eral1/Nop53/Bop1/Mrto4/Pwp2/Eif3f/Snrpg/Dhx29/Gemin6/Brix1/Rps14/Eif3d/Eif3m/Eif3b/Ddx42/Crnkl1/Dhx30/Gemin8/Clns1a/Dkc1/Snrpe/Abt1/Rps15/Eif3e/Dicer1/Lsm4/Sf3a2/U2af2/Mdn1/Ddx46/Rpl38/Prpf4b/Wdr77/Gemin7/Rrp7a/Ythdc1/Srsf10/Ptges3/Smn1/Ago2/Usp39/Atr,81
