"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","GO:0003735","structural constituent of ribosome","82/1306","178/28409",0.460674157303371,10.0208974998709,26.5020734865418,3.52162439988825e-61,2.83490764191004e-58,1.98693755614748e-58,"Rpl18/Rps15a/Fau/Rpl3/Rpl19/Rplp0/Rps19/Rps11/Rpl4/Rps21/Mrps16/Rps6/Mrpl52/Rpl31/Rps7/Rpl37a/Mrpl33/Rpl37/Mrpl27/Mrpl22/Rps3/Mrpl4/Rpsa/Rpl10/Mrps34/Rps4x/Dap3/Mrps25/Rps9/Mrpl57/Mrpl36/Rps10/Rpl5/Rplp2/Rps13/Rps28/Mrpl12/Mrpl15/Mrps15/Mrpl45/Rpl7/Mrpl55/Mrpl43/Mrps2/Mrpl41/Mrps23/Mrps35/Rpl17/Rps14/Mrpl24/Mrpl3/Mrps17/Mrpl20/Mrps21/Rps15/Rpl7l1/Mrpl37/Mrpl11/Rps20/Mrpl18/Rpl9/Rpl38/Mrps18b/Rpl10a/Mrpl49/Rpl28/Rps12/Mrpl14/Mrps24/Rpl27a/Mrpl13/Rpl7a/Mrpl19/Rpl12/Mrpl47/Mrpl28/Mrps6/Rpl14/Mrps11/Rps8/Rpl34/Rps29",82
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","93/1306","377/28409",0.246684350132626,5.36604571433214,18.7333370525117,1.0051457343888e-41,4.04571158091493e-39,2.83556901911788e-39,"Eif4a3/Polr2a/Ddx49/Drosha/Jmjd6/Farsa/Gatb/Polr3h/Upf1/Polr2j/Ddx56/Polr3b/Dhx33/Fars2/Mtrex/Trmt61a/Qrsl1/Mettl16/Mars1/Dimt1/Snrnp200/Mars2/Pnpt1/Dbr1/Ddx24/Rtcb/Polr3a/Aars2/Trmu/Etf1/Polr1b/Tfb1m/Polr2h/Iars2/Trnt1/Polr1d/Ddx55/Mepce/Ddx41/Slu7/Prim1/Rpp38/Rnaset2a/Ftsj3/Supv3l1/Lars2/Ddx54/Ddx5/Polr1a/Crcp/Pop1/Vars2/Dhx29/Sepsecs/Aqr/Prorp/Pop5/Sars2/Mrpl44/Ddx42/Dhx30/Pop4/Dicer1/Mettl14/Polr3k/Ddx10/Rpp14/Polr2c/Xrn2/Polrmt/Ddx46/Gatc/Pop7/Dhx36/Pars2/Ints11/Tut1/Elac2/Ddx47/Dars2/Ddx27/Ddx59/Polr2i/Ago2/Cmtr1/Nars2/Exosc10/Fen1/Mettl1/Bud23/Dhx38/Rars2/Wars2",93
"GO:0016887","GO:0016887","ATP hydrolysis activity","80/1306","396/28409",0.202020202020202,4.39448079570591,14.9322197945117,1.5492158218392e-29,4.15706245526851e-27,2.91361291405547e-27,"Eif4a3/Cct4/Ddx49/Hspa5/Cct8/Dna2/Cct3/Dync1h1/Psmc5/Rad51/Upf1/Ruvbl2/Atp2a2/Rfc3/Tcp1/Ddx56/Smc3/Dhx33/Smc6/Hspa9/Ino80/Mtrex/Psmc4/Smc4/Snrnp200/Ddx24/Cct5/Mcm5/Rfc4/Smarca5/Rfc5/Twnk/Ddx55/Atad3a/Ddx41/Smc2/Atp6v1g1/Nsf/Dync2h1/Mcm3/Supv3l1/Ruvbl1/Gpn1/Rfc2/Ercc3/Psmc2/Orc1/Ddx54/Ddx5/Psmc1/Srp54a/Dhx29/Smarca4/Aqr/Abce1/Ddx42/Dhx30/Kif3b/Ddx10/Atp2b1/Mcm4/Kif18b/Rad51d/Rad17/Smc5/Kif20a/Nubp1/Psmc6/Ddx46/Mcm2/Dhx36/Psmc3/Srcap/Chd8/Ddx47/Ddx27/Ddx59/Lonp1/Abcf1/Kif23",80
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","56/1306","205/28409",0.273170731707317,5.94219549546185,15.5892324785213,5.43755017820083e-28,1.09430697336292e-25,7.66980761977802e-26,"Eif4a3/Rps21/Snrpd1/Hspa5/Snrpb/Pelo/Dhx33/Sbds/Prpf6/Srp19/Eef2/Rpsa/Hnrnpk/Gemin5/Csnk2b/Prmt5/Naa15/Mrps27/Rack1/Gtpbp4/Rplp2/Mettl17/Hnrnpu/Eif3c/Snrpd3/Efl1/Letm1/Eral1/Bop1/Ddx5/Cd2bp2/Prmt1/Srp54a/Snrpg/Dhx29/Xpo5/Abce1/Snrnp70/Mtor/Srp72/Wdr12/Snrpe/Rbm39/Eif5a/Pes1/Unk/Rpn2/Timm50/Ptcd3/C1qbp/Tma16/Srp68/Sec61a1/Ago2/Abcf1/Nmd3",56
"GO:0003729","GO:0003729","mRNA binding","78/1306","409/28409",0.190709046454768,4.14843284895367,14.0786271935596,4.30332481111533e-27,6.92835294589568e-25,4.85596231317435e-25,"Eif4a3/Eef1a1/Srsf1/Ncbp2/Rps6/Rbm8a/Exosc8/Rps7/Cpsf1/Dhx33/Ncbp1/Srsf7/Rps3/Hnrnpk/Snrnp35/Gemin5/Pkm/Cct5/Fech/Cstf3/Etf1/Nxf1/Sf3b1/Ddx41/Rnf40/Rpl5/Eif3a/Rps13/Mrpl12/Copa/Hnrnpu/Pabpc1/Tardbp/Sf1/Rpl7/Ddx5/Rbm25/Rnf20/Rps14/Xpo5/Aqr/Eif3d/Snrnp70/Cstf2/Snip1/Alyref/Pcf11/Mettl14/Hnrnpl/Cdc40/Sf3b6/Utp23/Ppp1r8/Exosc7/Ddx23/Supt5/Nsrp1/Eif4e/Dhx36/Zfp638/Lrpprc/Lsm8/Tut1/Tpr/Unk/Ythdc1/Mrpl13/Ptbp1/Ppie/Ddx59/C1qbp/Gnl3/Ago2/Exosc9/Scaf8/Rnps1/Nkap/Rbm14",78
"GO:0019843","GO:0019843","rRNA binding","33/1306","73/28409",0.452054794520548,9.83340325998028,16.5883599635284,5.24586193905329e-25,7.03819810156317e-23,4.93295087602204e-23,"Rpl3/Rpl19/Rplp0/Rps11/Rpl4/Rpl37/Sbds/Rps3/Eef2/Rps4x/Rpf2/Rps9/Mrps27/Rpl5/Rps13/Ppan/Eral1/Rpl7/Nop53/Rcc1l/Rpl17/Brix1/Imp4/Mrps17/Mrpl20/Mrpl11/Mrpl18/Rpl9/Utp23/Ptcd3/Rpl12/Mrps6/Gtf3a",33
"GO:0004386","GO:0004386","helicase activity","44/1306","150/28409",0.293333333333333,6.38078611536498,14.504280822556,1.1752217443349e-23,1.35150500598513e-21,9.4724639844136e-22,"Eif4a3/Ddx49/Dna2/Rad51/Upf1/Ruvbl2/Rfc3/Ddx56/Dhx33/Mtrex/Snrnp200/Ddx24/Dhx37/Mcm5/Rfc4/Smarca5/Rfc5/Twnk/Ddx55/Ddx41/Mcm3/Supv3l1/Ruvbl1/Rfc2/Ercc3/Dhx16/Ddx54/Ddx5/Dhx29/Smarca4/Aqr/Ddx42/Dhx30/Dicer1/Ddx10/Mcm4/Ddx46/Mcm2/Dhx36/Chd8/Ddx47/Ddx27/Ddx59/Dhx38",44
"GO:0140223","GO:0140223","general transcription initiation factor activity","26/1306","47/28409",0.553191489361702,12.0333974129224,16.6177797867538,6.52768906130735e-23,6.56848711794052e-21,4.60373860113255e-21,"Taf1c/Gtf3c1/Brf2/Brf1/Snapc2/Taf2/Ubtf/Gtf2a1/Taf5/Snapc5/Gtf2h4/Dr1/Gtf2h3/Taf12/Rrn3/Ccnh/Taf6/Snapc4/Gtf3c4/Gtf2h2/Gtf2e2/Taf7/Tbp/Taf6l/Gtf3a/Taf10",26
"GO:0051536","GO:0051536","iron-sulfur cluster binding","30/1306","74/28409",0.405405405405405,8.81865402922065,14.7832350871153,3.60562447593021e-21,3.22503078124869e-19,2.26036809251297e-19,"Nfs1/Ndufs2/Dna2/Pole/Isca1/Ciao3/Fech/Fxn/Isca2/Fbxl5/Prim2/Lias/Polr3f/Mettl17/Nfu1/Uqcrfs1/Nubp2/Ndufs7/Pold1/Glrx5/Iscu/Abce1/Fdx2/Elp3/Ndufv2/Aco2/Nubp1/Ciapin1/Ppat/Kif4",30
"GO:0051540","GO:0051540","metal cluster binding","30/1306","82/28409",0.365853658536585,7.95829753856497,13.8513743205631,1.19664953640718e-19,9.6330287680778e-18,6.7516226475184e-18,"Nfs1/Ndufs2/Dna2/Pole/Isca1/Ciao3/Fech/Fxn/Isca2/Fbxl5/Prim2/Lias/Polr3f/Mettl17/Nfu1/Uqcrfs1/Nubp2/Ndufs7/Pold1/Glrx5/Iscu/Abce1/Fdx2/Elp3/Ndufv2/Aco2/Nubp1/Ciapin1/Ppat/Kif4",30
