Gene Symbol	DMSO_A	DMSO_B	DMSO_C	AZA_2h_A	AZA_2h_B	AZA_2h_C	AZA_48h_C	AZA_48h_B	AZA_48h_C			
Gm37671	0	0	0	0	0	0	0	0	0			
Gm19087	0	0	0	0	0	0	0	0	0			
Gm8941	0	2	2	0	0	0	0	0	0			
Gm38212	0	0	0	2	0	0	0	0	1			
Gm7449	0	0	1	0	0	0	0	0	0			
Gm15178	0	0	0	1	0	0	0	0	0			
Gm28283	0	0	0	0	0	0	0	0	0			
Gm37108	0	5	2	1	2	6	2	5	2			
Gm37275	0	0	0	0	0	0	0	0	0			
Gm6679	0	0	0	0	0	0	0	0	0			
Gm29155	0	2	4	0	10	4	3	2	5			
C730036E19Rik	0	0	0	0	0	0	0	2	0			
Gm37225	0	0	0	0	0	0	0	0	0			
Gm17847	0	0	0	0	0	0	0	0	0			
Gm28281	0	0	0	0	0	0	0	0	0			
Gm29157	4	0	0	0	0	0	0	0	2			
Gm37489	0	0	0	0	0	0	0	0	0			
Gm29156	3	8	13	14	7	19	6	8	3			
Gm47985	0	0	0	0	0	0	0	0	0			
Gm22159	0	0	0	0	0	0	0	0	0			
Gm5694	2	0	0	0	0	0	3	3	0			
Gm8947	0	0	0	0	0	0	0	0	0			
7SK	0	0	0	0	0	0	0	0	0			
Gm8141	4	7	5	1	3	9	6	10	19			
Gm47995	0	0	0	0	0	0	0	0	0			
3110040M04Rik	0	0	0	0	0	0	0	0	0			
Gm47996	0	0	0	0	0	0	0	0	0			
U2	0	0	0	0	0	0	0	0	0			
Gm10138	217	219	154	238	230	233	185	227	180			
Pcmtd1	1777	1647	1573	1383	1404	1250	1132	1263	1467			
Gm26983	0	0	0	0	0	0	0	0	0			
Gm38372	68	33	32	57	56	43	24	24	44			
Gm9826	6	5	16	8	8	4	6	7	0			
Nras-ps2	0	0	0	0	0	0	0	0	0			
Gm23274	0	0	0	0	0	0	0	0	0			
Gm19002	0	0	0	0	0	0	0	0	0			
Gm26901	27	29	37	28	35	22	33	25	24			
Gm18984	0	0	0	0	0	0	0	0	0			
Gm30414	0	0	0	0	0	0	0	0	0			
Gm37791	0	0	0	0	0	0	0	0	0			
Gm7470	0	0	0	0	0	0	0	4	2			
Rps2-ps2	0	0	0	0	0	0	2	1	0			
Gm38216	0	0	0	0	0	0	0	0	0			
Cdh7	2464	2269	1974	1310	1333	1159	856	916	1071			
Gm18552	0	0	0	0	0	0	0	0	0			
Gm3332	0	0	0	0	0	0	0	0	0			
Gm6693	0	0	0	0	0	0	0	0	0			
Exo1	6953	6879	6532	7309	7450	7000	4440	5043	5703			
Gm23805	0	5	1	2	0	0	1	4	0			
Becn2	2	12	0	14	8	6	4	4	16			
Gm37668	0	0	0	0	0	0	0	0	0			
Uxs1	1831	1787	1549	2090	1828	1867	1393	1625	1800			
Cdh19	2	0	0	0	0	1	178	212	337			
Gm38255	0	0	0	0	0	0	0	0	0			
Gm36944	0	0	0	0	0	0	0	0	0			
Gm29088	0	0	0	0	0	0	0	0	0			
Gm19927	0	0	0	0	0	0	0	0	0			
Gm16103	0	0	0	0	0	0	0	0	0			
Gm19587	0	2	4	0	2	0	2	0	0			
Gm8173	0	0	0	0	0	0	0	0	0			
Gm8241	0	0	0	0	0	0	0	0	0			
Gm37934	0	0	0	0	0	0	0	0	0			
Gm26352	0	0	0	0	0	0	0	0	0			
Dsel	571	534	491	703	673	670	431	500	610			
Gm6028	0	0	0	0	0	0	1	0	0			
Gm17752	1	0	0	0	2	0	1	0	0			
Gm6717	0	0	0	0	1	0	0	1	0			
Gm19086	0	0	0	0	0	0	0	0	0			
Gm18406	0	2	0	0	0	0	0	0	0			
Gm22331	0	0	0	0	0	0	0	0	0			
Gm8204	0	0	0	0	0	0	0	0	0			
Gm28190	0	0	0	0	0	0	0	0	0			
Gm28189	0	0	0	0	0	0	0	0	0			
Gm17946	0	0	0	0	0	0	0	0	0			
Gm18181	0	0	0	0	0	0	0	0	0			
9330185C12Rik	0	0	0	0	0	0	0	0	0			
Gm4854	0	0	0	0	0	0	0	0	0			
Gm17916	0	0	0	0	0	0	0	0	0			
Gmppa	1879	1834	1647	1830	1797	1637	1339	1467	1703			
Pld5	4	4	3	8	2	7	4	2	4			
Rbm8a2	6	10	7	2	3	6	4	8	4			
Gm38081	0	0	0	0	0	0	0	0	0			
Gm37916	0	0	0	0	0	0	0	0	0			
Gm38101	1	0	0	0	0	0	0	0	2			
Gm17965	0	0	0	0	0	0	0	0	0			
Gm38152	0	0	0	0	1	0	0	0	0			
Gm36536	0	0	0	0	0	0	0	0	0			
Gm17966	0	0	0	0	0	0	0	0	0			
Gm26104	0	0	0	0	0	0	0	0	0			
Asic4	109	137	115	151	193	149	185	120	171			
Gm37264	2	2	6	7	4	4	2	2	5			
Cntnap5a	2	0	0	0	0	0	0	0	0			
Sntg1	0	0	0	1	0	0	0	0	0			
Gm28263	0	0	0	0	0	0	0	0	0			
Gm38024	0	0	0	0	0	0	0	0	0			
Gm16284	0	0	2	2	0	0	0	0	0			
Gm38259	0	0	0	0	0	0	0	0	0			
Gm19965	0	0	0	1	0	0	0	0	0			
Gm17777	0	0	0	0	0	0	0	0	0			
Gm37005	0	0	0	0	0	0	0	0	0			
Gm24030	0	0	0	0	0	0	0	0	0			
Gm15452	4	4	4	3	3	1	5	2	2			
Gm36964	0	2	1	0	0	0	0	1	0			
Gm28361	0	0	0	0	0	0	0	0	0			
Gm6152	0	0	0	0	0	0	0	0	0			
Zfp813-ps	0	0	0	0	0	0	0	0	0			
Zfp813-ps	0	0	0	0	0	0	0	0	0			
Gm7445	0	0	0	0	0	0	0	0	0			
Gm28362	0	0	2	0	0	0	0	0	0			
Gm7493	0	0	0	0	0	0	0	0	0			
Gm37629	0	0	0	0	0	0	0	0	0			
Gm28363	0	0	0	0	0	0	0	0	0			
Gm38008	0	0	0	0	0	0	0	0	0			
Gm28359	0	0	0	0	0	0	0	0	0			
Gm37143	0	0	0	0	0	0	0	0	0			
Gm18182	0	0	0	0	0	0	0	0	0			
Gm6187	1	3	0	0	2	0	2	1	1			
Gm18299	0	0	0	0	0	0	0	0	0			
B020011L13Rik	0	0	0	2	0	0	0	2	0			
Gm7512	0	0	0	0	0	0	0	0	0			
Gm28360	0	0	0	0	0	0	0	0	0			
Gm24765	0	0	0	0	0	0	0	0	0			
Gm28169	0	0	0	0	0	0	0	0	0			
Gm18300	0	1	0	0	0	0	0	0	0			
Gm7195	0	0	0	0	0	0	0	0	0			
Gm28168	0	0	0	0	0	0	2	0	0			
Rrs1	5706	5597	4996	7787	7115	7284	4038	4863	4654			
Gm7145	0	0	0	0	0	0	0	0	0			
Gm28358	0	0	0	0	0	0	0	0	0			
Gm29489	0	0	0	0	0	0	0	0	0			
Gm29490	0	0	0	0	0	0	0	0	0			
Gm29104	0	0	0	0	0	0	0	0	0			
Gm29106	0	0	2	0	0	0	0	0	0			
Gm7200	0	0	2	1	0	0	0	0	1			
Ivns1abp	29639	29878	26180	28878	27367	26691	21389	22832	27688			
Tsn	16667	16460	14569	18547	18121	18076	12982	13320	15936			
Nifk	6598	6139	5679	7942	7186	6825	5448	5732	6489			
Gm28867	0	0	0	0	0	0	0	0	0			
Adhfe1	34	19	14	17	36	17	31	58	50			
Swt1	1661	1485	1392	1533	1216	1437	1259	1256	1536			
2610203C22Rik	47	26	28	21	37	12	44	58	76			
Gm6161	4	1	0	2	5	2	2	2	2			
Vxn	0	0	0	0	0	2	3	4	4			
Gm29520	0	0	0	0	0	0	0	0	0			
Cep170	13212	13099	11782	12198	11937	11678	9164	9633	11896			
3110062G12Rik	2	4	4	5	4	0	0	2	4			
Gm38104	10	14	15	12	8	12	4	2	22			
Gm36992	4	1	3	0	1	2	1	2	0			
Mir350	0	0	0	0	0	2	0	0	0			
7SK	0	0	0	0	0	0	0	0	0			
Trmt1l	2537	2329	2253	2401	2181	2354	2196	2231	2567			
Mir7682	0	5	5	1	2	2	0	2	1			
Gm37893	115	104	62	118	105	104	70	86	130			
Rnf2	6943	6983	6119	7219	6492	6067	5045	5052	6334			
Gm36527	0	5	2	6	3	2	2	2	7			
Gm29072	0	0	0	0	0	0	0	0	0			
Gm19503	0	3	1	2	0	0	0	0	0			
Gm28181	0	0	0	0	0	0	0	0	0			
Mybl1	1168	1195	935	1068	1142	942	892	1033	1147			
Vcpip1	3947	3958	3422	4544	4640	4357	3065	3085	3792			
Tpp2	6471	6008	5425	6022	6048	5996	5004	5056	6242			
1700034P13Rik	19	23	13	19	24	24	13	6	24			
Sdccag8	1243	1262	1123	967	932	872	852	826	930			
Gm38158	0	0	0	0	0	0	0	0	0			
Gm38053	0	0	0	0	0	0	0	0	0			
Gm37246	0	0	0	0	0	0	0	0	2			
Mettl21c	9	7	2	2	5	4	2	6	4			
Gm37490	2	2	4	0	1	2	2	2	4			
Gm15423	123	93	106	102	90	58	59	61	68			
Gm15838	0	0	0	0	0	0	0	0	2			
Gm37519	0	2	0	1	2	1	0	0	0			
Gm8251	58	66	56	84	56	61	42	75	120			
Niban1	4	0	6	2	2	2	4	6	12			
2810414N06Rik	129	108	101	102	102	73	54	84	81			
Gm15182	0	0	0	0	0	0	0	0	0			
Gm5257	0	0	0	0	0	0	0	0	0			
Gm29065	0	0	0	0	0	0	0	0	0			
Gm29068	0	0	0	0	0	0	0	0	0			
Gm29069	0	0	0	0	0	0	0	0	0			
Gm17751	0	0	0	0	4	0	0	0	2			
Mir6343	0	0	0	0	0	0	0	0	0			
Gm816	2	8	16	6	12	8	19	8	27			
Gm38265	0	0	0	0	0	2	0	0	0			
5S_rRNA	0	0	0	0	0	0	0	0	0			
Akt3	4853	4769	4059	4226	4026	3767	3209	3232	4010			
Gm37960	6	6	4	10	8	2	2	5	2			
Gm37106	0	0	3	2	1	8	2	0	0			
Gm37598	0	0	0	0	0	0	0	0	0			
Gm38146	0	0	0	0	1	0	0	0	0			
Gm37706	0	2	2	0	0	5	0	2	2			
Gm37463	0	0	0	0	1	0	0	0	0			
Gm38328	0	2	0	0	0	0	0	0	0			
Gm26801	28	23	24	20	31	15	17	26	29			
Zbtb18	17933	17731	16151	17530	16942	16371	11226	12133	14517			
Gm29856	5	3	4	2	0	3	1	1	4			
Gm37306	0	0	0	0	0	0	0	0	0			
Gm37280	2	0	4	3	0	2	3	0	4			
Tex30	1849	1892	1727	2144	1800	1807	1495	1534	1740			
Gm37858	0	2	0	0	0	0	0	0	0			
2310043L19Rik	0	0	0	0	0	0	2	3	0			
Edem3	3288	3147	2947	3404	3293	3238	2857	2907	3404			
Gm29247	0	0	0	0	0	0	0	0	0			
1700016C15Rik	0	0	0	0	0	0	0	0	0			
1700025G04Rik	6624	7015	6215	5989	6164	5991	5109	5405	6138			
Gm25279	0	0	1	0	0	0	0	0	0			
Gm28610	3	2	2	2	2	2	0	0	4			
Gm8964	0	0	0	0	0	0	0	0	0			
Gm38238	0	0	0	0	0	0	0	0	0			
Adss	7280	7296	6413	8406	7774	7218	5032	5482	6182			
Gm16585	1	0	4	2	1	0	3	2	3			
Catspere1	0	0	0	0	0	0	0	0	0			
Tsen15	1978	2003	1749	2295	1903	1866	1444	1443	1611			
Epha4	702	786	610	1144	1292	1181	887	976	1006			
Mir6352	0	0	0	0	0	0	0	0	0			
Colgalt2	34	18	28	10	6	12	14	22	46			
Gm28386	6	0	2	8	8	8	0	6	10			
Gm28385	0	0	0	0	0	0	0	0	0			
Gm26263	0	0	0	0	0	0	0	0	0			
Gm28387	0	0	0	0	0	0	0	0	0			
Poglut2	2066	2055	1951	2179	1992	2045	1692	1655	1967			
Btf3-ps14	0	0	0	0	0	0	0	0	0			
Catspere2	40	33	20	13	37	34	22	32	50			
Gm37313	0	0	0	0	0	2	0	0	0			
Gm25312	0	0	0	0	0	0	0	0	0			
Gm8010	0	0	0	0	0	5	2	2	0			
Pax3	0	4	10	6	8	6	0	6	6			
Gm2102	0	0	0	0	0	0	0	0	1			
Bivm	2109	2171	1913	2231	1880	1959	1589	1665	2077			
Sgpp2	203	247	236	159	118	112	233	279	294			
Gm28410	0	0	0	0	0	0	0	0	0			
Gm37884	0	0	0	0	0	0	0	0	0			
Desi2	3130	3373	2845	3079	3073	2708	2367	2672	2846			
Gm8023	0	0	0	0	0	0	0	0	0			
4930527J03Rik	2	0	2	2	3	0	0	0	2			
Gm37486	16	13	15	8	8	16	8	4	2			
B230369F24Rik	170	163	123	223	240	186	132	114	145			
Cox20	442	484	386	414	441	394	296	377	413			
Ercc5	1161	1278	1122	1701	1608	1523	1070	1172	1387			
Mettl21e	0	0	0	2	2	0	0	0	0			
Gm15833	0	0	0	2	0	1	0	0	2			
Gm5700	0	0	0	0	0	4	0	0	0			
Gm28893	0	0	0	0	0	0	0	0	0			
Txn-ps1	0	1	4	2	0	2	2	0	0			
Farsb	4841	4942	4438	5183	5056	5162	3831	4058	4569			
Gm28995	0	0	0	0	0	0	0	0	0			
4833412K13Rik	6	6	21	11	2	14	6	4	6			
BC035947	0	0	0	0	0	0	0	0	0			
Rgl1	1002	1045	949	941	945	837	664	805	863			
Gm15479	0	0	0	0	0	0	0	0	0			
Gm7278	8	8	9	24	14	3	12	13	4			
Gm28792	0	0	0	0	0	0	0	0	0			
Apobec4	0	0	0	0	0	0	0	0	0			
Mogat1	0	0	2	0	2	0	0	0	0			
Arpc5	6561	6310	6129	7370	6692	6299	5285	5935	6194			
5730419F03Rik	0	0	0	0	0	0	0	0	0			
Gm29611	0	0	0	0	0	0	0	0	0			
Gulp1	0	6	8	2	4	12	8	2	6			
Gm37626	0	0	0	0	0	0	0	0	0			
Gm16102	0	0	0	0	0	0	0	0	0			
4930521E06Rik	0	0	0	0	0	0	0	0	0			
Gm38110	0	0	0	0	0	0	0	0	0			
Gm3489	1	0	1	0	0	3	0	1	0			
Gm19480	0	0	0	0	0	0	0	0	0			
Gm3496	0	0	0	1	0	0	0	0	0			
Gm5268	0	0	0	0	0	2	0	0	0			
Hnrnpu	79492	76798	69541	78644	78866	76863	56869	59798	69679			
Gm38300	27	18	32	24	21	31	27	33	34			
Gm24919	0	0	0	0	0	0	0	0	0			
Efcab2	310	368	340	415	353	381	243	219	244			
Acsl3	5122	5583	4518	4585	4009	4204	3910	3993	4727			
Ncf2	8	12	7	4	14	8	17	16	20			
Kif26b	315	334	304	267	324	281	242	316	310			
Gm24405	0	0	0	0	0	0	0	0	0			
Gm34176	0	0	0	0	0	0	0	0	0			
Sgk3	60	64	57	71	60	52	45	44	71			
Gm16564	0	0	0	0	0	0	0	2	0			
Utp14b	1592	1526	1409	1908	1877	1822	977	1157	1481			
Gm6159	5	10	9	9	10	6	11	11	4			
Gm29536	0	0	0	0	0	0	0	0	0			
Kcne4	2	0	2	0	0	0	4	6	6			
Gm29187	0	4	0	1	1	0	0	2	2			
Gm5830	0	2	2	0	0	0	1	0	0			
Gm6195	0	0	0	3	1	0	0	0	0			
U6	0	0	0	0	0	0	0	0	0			
Scg2	4	4	4	4	8	4	0	2	12			
Gm19027	0	0	0	0	0	0	0	0	0			
Gm24160	0	0	0	0	0	0	0	0	0			
Smyd3	1124	1258	1134	1264	1100	1039	586	618	729			
Ap1s3	8	2	10	10	14	4	2	6	17			
Gm5561	6	9	5	6	5	4	4	3	2			
Gm37886	0	0	0	0	0	0	0	0	0			
Tfb2m	1622	1593	1410	1806	1701	1581	1111	1317	1371			
Gm15480	0	0	0	0	0	0	0	0	0			
Cnst	3387	3388	3115	3166	3213	3072	2152	2384	2771			
Col3a1	220	237	224	152	163	162	198	265	244			
Mcmdc2	1	4	1	0	2	0	0	4	0			
Snhg6	1683	1674	1469	1782	1636	1654	1487	1729	1704			
Snord87	25	28	22	18	10	13	20	20	36			
Tcf24	2	4	0	0	0	2	4	4	4			
E330040D14Rik	0	0	0	1	0	0	0	0	0			
Sccpdh	2405	2363	1920	2760	2309	2151	1928	2194	2420			
Smg7	7119	6849	6179	7987	7719	7453	5814	6027	7403			
Gm28791	2	0	0	0	2	2	0	8	0			
1700040K01Rik	0	0	0	0	0	2	0	0	0			
Kif28	6	4	10	3	4	9	16	19	7			
Gm8976	0	0	0	0	0	0	0	0	1			
Col5a2	0	0	2	0	0	2	2	2	4			
Gm38211	0	0	0	0	0	0	0	0	0			
Gm8296	1	0	1	0	0	0	0	0	0			
Wdfy1	900	967	745	988	1035	907	649	662	926			
Gm7063	0	0	0	0	0	0	0	0	0			
Gm10555	0	0	0	0	0	0	0	0	0			
Gm8304	0	0	0	0	0	0	0	0	0			
Gm23216	0	0	0	0	0	0	0	0	0			
Gm23974	0	0	0	0	0	0	0	0	0			
Gm8307	0	0	0	0	0	0	0	0	0			
Ppp1r42	0	0	6	16	8	7	0	0	1			
