id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
H3c1	20	7.0227e-19	2.3315e-07	0.000248	1	19	-3.273	0.99984	0.99984	1.0	20341	0	-3.273
H2bc11	9	6.7291e-15	2.3315e-07	0.000248	2	9	-4.6483	1.0	1.0	1.0	21231	0	-4.6483
H2ac10	21	4.0835e-14	2.3315e-07	0.000248	3	20	-2.6529	1.0	1.0	1.0	21216	0	-2.6529
Btbd35f1	29	2.2639e-12	2.3315e-07	0.000248	4	24	-1.0728	0.99421	0.99867	1.0	19351	1	-1.0728
Gm20738	23	3.034e-11	2.3315e-07	0.000248	5	19	-1.0302	0.98982	0.99633	1.0	19149	1	-1.0302
H3c13	11	3.1061e-10	2.3315e-07	0.000248	6	11	-2.3318	1.0	1.0	1.0	21233	0	-2.3318
Mfap1a	7	3.5682e-10	2.3315e-07	0.000248	7	7	-2.9264	1.0	1.0	1.0	21232	0	-2.9264
Gm14150	6	8.7733e-10	2.3315e-07	0.000248	8	6	-3.3418	1.0	1.0	1.0	21230	0	-3.3418
Gm10058	12	2.7959e-09	2.3315e-07	0.000248	9	11	-1.5591	1.0	1.0	1.0	21223	0	-1.5591
Gm10439	26	6.7463e-09	2.3315e-07	0.000248	10	19	-0.77978	0.99838	0.99913	1.0	19740	1	-0.77978
Gm14295	14	1.3721e-08	2.3315e-07	0.000248	11	12	-0.99372	1.0	1.0	1.0	21180	0	-0.99372
Eif4a3	4	1.6709e-08	2.3315e-07	0.000248	12	4	-4.2991	1.0	1.0	1.0	21229	0	-4.2991
Rpl18	3	2.8673e-08	2.3315e-07	0.000248	13	3	-4.534	1.0	1.0	1.0	21228	0	-4.534
4930467E23Rik	11	2.9253e-08	2.3315e-07	0.000248	14	10	-1.4657	1.0	1.0	1.0	21141	0	-1.4657
Rabggtb	4	3.4788e-08	2.3315e-07	0.000248	15	4	-3.5799	1.0	1.0	1.0	21227	0	-3.5799
Sox9	4	3.6483e-08	2.3315e-07	0.000248	16	4	-3.3457	1.0	1.0	1.0	21226	0	-3.3457
Gm10054	5	4.3019e-08	2.3315e-07	0.000248	17	5	-3.1823	1.0	1.0	1.0	21225	0	-3.1823
Rps15a	4	6.4635e-08	2.3315e-07	0.000248	18	4	-3.4098	1.0	1.0	1.0	21224	0	-3.4098
Gins2	4	7.706e-08	2.3315e-07	0.000248	19	4	-3.6213	1.0	1.0	1.0	21222	0	-3.6213
Heatr1	4	7.7994e-08	2.3315e-07	0.000248	20	4	-3.7414	1.0	1.0	1.0	21221	0	-3.7414
Eif2s1	4	9.319e-08	6.9945e-07	0.000437	21	4	-4.0831	1.0	1.0	1.0	21220	0	-4.0831
Fau	4	9.4673e-08	6.9945e-07	0.000437	22	4	-3.1586	1.0	1.0	1.0	21219	0	-3.1586
Wdr70	4	1.0689e-07	6.9945e-07	0.000437	23	4	-3.6138	1.0	1.0	1.0	21218	0	-3.6138
Thoc3	4	1.3168e-07	6.9945e-07	0.000437	24	4	-2.8388	1.0	1.0	1.0	21217	0	-2.8388
1700040F15Rik	8	1.911e-07	1.6321e-06	0.000568	25	8	-1.6391	1.0	1.0	1.0	21215	0	-1.6391
Rae1	4	2.1976e-07	6.9945e-07	0.000437	26	4	-3.152	1.0	1.0	1.0	21214	0	-3.152
Wdr1	4	2.2387e-07	6.9945e-07	0.000437	27	4	-2.9455	1.0	1.0	1.0	21213	0	-2.9455
Prpf19	4	2.3601e-07	6.9945e-07	0.000437	28	4	-3.1271	1.0	1.0	1.0	21212	0	-3.1271
Rpl3	4	2.5202e-07	6.9945e-07	0.000437	29	4	-3.9699	1.0	1.0	1.0	21211	0	-3.9699
Rrm1	4	2.6206e-07	6.9945e-07	0.000437	30	4	-3.5578	1.0	1.0	1.0	21210	0	-3.5578
Eef1a1	4	2.73e-07	6.9945e-07	0.000437	31	4	-3.5884	1.0	1.0	1.0	21209	0	-3.5884
Gm15459	2	2.9897e-07	6.9945e-07	0.000437	32	2	-4.0704	1.0	1.0	1.0	21208	0	-4.0704
Cltc	4	3.182e-07	6.9945e-07	0.000437	33	4	-2.9556	1.0	1.0	1.0	21207	0	-2.9556
Urod	4	3.3258e-07	6.9945e-07	0.000437	34	4	-2.5066	1.0	1.0	1.0	21206	0	-2.5066
Sf3b5	4	3.4529e-07	6.9945e-07	0.000437	35	4	-3.9864	1.0	1.0	1.0	21205	0	-3.9864
H4c12	6	3.7323e-07	1.6321e-06	0.000568	36	6	-2.2626	1.0	1.0	1.0	21204	0	-2.2626
5031410I06Rik	10	3.743e-07	2.0984e-06	0.000685	37	9	-1.2872	0.98731	0.98742	1.0	19053	0	-1.2872
Cpsf3	4	4.0868e-07	1.1658e-06	0.000476	38	4	-2.4635	1.0	1.0	1.0	21203	0	-2.4635
Phb2	4	4.1195e-07	1.1658e-06	0.000476	39	4	-3.0909	1.0	1.0	1.0	21202	0	-3.0909
Mat2a	4	4.2351e-07	1.1658e-06	0.000476	40	4	-2.9491	1.0	1.0	1.0	21201	0	-2.9491
Cdk1	4	4.2435e-07	1.1658e-06	0.000476	41	4	-4.0096	1.0	1.0	1.0	21200	0	-4.0096
Tubb5	4	4.3788e-07	1.1658e-06	0.000476	42	4	-3.6298	1.0	1.0	1.0	21199	0	-3.6298
Gm10665	26	4.4444e-07	4.8962e-06	0.001083	43	17	-0.81918	0.071975	0.26999	0.970035	3444	6	-0.81918
Eif5	4	4.7677e-07	1.1658e-06	0.000476	44	4	-2.7824	1.0	1.0	1.0	21198	0	-2.7824
Srsf1	4	4.9716e-07	1.1658e-06	0.000476	45	4	-3.5972	1.0	1.0	1.0	21197	0	-3.5972
Gm16451	16	5.0113e-07	5.3625e-06	0.001139	46	13	-1.2926	0.99402	0.99411	1.0	19341	0	-1.2926
Zpr1	4	5.0855e-07	1.1658e-06	0.000476	47	4	-2.5268	1.0	1.0	1.0	21196	0	-2.5268
H4c1	10	5.1161e-07	3.9636e-06	0.001026	48	7	-1.9843	0.99392	0.99396	1.0	19334	0	-1.9843
Cct4	4	5.2601e-07	1.1658e-06	0.000476	49	4	-3.5802	1.0	1.0	1.0	21195	0	-3.5802
Rnpc3	4	5.602e-07	1.1658e-06	0.000476	50	4	-3.1011	1.0	1.0	1.0	21194	0	-3.1011
Polr2a	4	5.6848e-07	1.1658e-06	0.000476	51	4	-2.7418	1.0	1.0	1.0	21193	0	-2.7418
Ccna2	4	5.6952e-07	1.1658e-06	0.000476	52	4	-2.5052	1.0	1.0	1.0	21192	0	-2.5052
Yars	4	5.758e-07	1.1658e-06	0.000476	53	4	-2.9485	1.0	1.0	1.0	21191	0	-2.9485
Ran	4	5.8214e-07	1.1658e-06	0.000476	54	4	-3.1645	1.0	1.0	1.0	21190	0	-3.1645
Fdps	4	5.9388e-07	1.1658e-06	0.000476	55	4	-2.7512	1.0	1.0	1.0	21189	0	-2.7512
Gm10340	6	5.9567e-07	3.031e-06	0.000906	56	6	-2.2067	1.0	1.0	1.0	21188	0	-2.2067
Taf1c	4	6.2905e-07	1.1658e-06	0.000476	57	4	-2.559	1.0	1.0	1.0	21187	0	-2.559
Ogt	4	6.3469e-07	1.1658e-06	0.000476	58	4	-2.8997	1.0	1.0	1.0	21186	0	-2.8997
